32,256,6000,256,16,128,198,199
47,8000,32000,32,8,32,269,253
47,8000,32000,32,8,32,220,253
47,8000,32000,32,8,32,172,253
47,8000,16000,32,8,16,132,132
47,8000,32000,64,8,32,318,290
58,16000,32000,64,16,32,367,381
58,16000,32000,64,16,32,489,381
58,16000,64000,64,16,32,636,749
58,32000,64000,128,32,64,1144,1238
20,1000,3000,0,1,2,38,23
20,512,3500,4,1,6,40,24
65,2000,8000,65,1,8,92,70
65,4000,16000,65,1,8,138,117
50,64,64,0,1,4,10,15
80,512,16000,0,4,32,35,64
19,524,2000,8,4,15,19,23
29,512,5000,0,7,32,28,29
29,1000,2000,0,5,16,31,22
49,5000,5000,142,8,64,120,124
59,1500,6300,0,5,32,30,35
59,3100,6200,0,5,20,33,39
69,2300,6200,0,6,64,61,40
25,3100,6200,0,6,64,76,45
68,128,6000,0,1,12,23,28
22,512,2000,4,1,3,69,21
68,256,6000,0,1,6,33,28
68,256,3000,4,1,3,27,22
68,512,5000,4,1,5,77,28
68,256,5000,4,1,6,27,27
17,1310,2620,131,12,24,274,102
17,1310,2620,131,12,24,368,102
17,2620,10480,30,12,24,32,74
17,2620,10480,30,12,24,63,74
17,5240,20970,30,12,24,106,138
17,5240,20970,30,12,24,208,136
48,500,2000,8,1,4,20,23
48,1000,4000,8,1,5,29,29
48,2000,8000,8,1,5,71,44
16,1000,4000,8,3,5,26,30
16,1000,8000,8,3,5,36,41
16,2000,16000,8,3,5,40,74
16,2000,16000,8,3,6,52,74
16,2000,16000,8,3,6,60,74
10,1000,12000,9,3,12,72,54
20,1000,8000,9,3,12,72,41
1,512,512,8,1,1,18,18
11,1000,5000,0,1,1,20,28
11,512,8000,4,1,5,40,36
11,512,8000,8,1,8,62,38
35,384,8000,0,1,1,24,34
60,256,2000,0,1,1,24,19
10,1000,16000,16,1,3,138,72
40,1000,8000,0,1,2,36,36
60,1000,4000,16,1,2,26,30
80,1000,12000,16,1,2,60,56
80,1000,8000,16,1,2,71,42
40,256,8000,0,1,4,12,34
40,256,8000,0,1,4,14,34
40,256,8000,0,1,4,20,34
40,256,8000,0,1,4,16,34
40,256,8000,0,1,4,22,34
20,512,1000,0,8,20,36,19
32,2000,8000,64,1,38,144,75
32,2000,16000,64,1,38,144,113
32,2000,16000,128,1,38,259,157
30,256,1000,0,3,10,17,18
30,256,2000,0,3,10,26,20
30,1000,4000,0,3,24,32,28
30,2000,4000,8,3,19,32,33
30,2000,8000,8,3,24,62,47
30,3000,8000,8,3,48,64,54
30,256,2000,0,3,24,22,20
